City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Nueve De Julio,AR,-35.44,-60.88,63.34,30,27,10.29,scattered clouds
258,Sibirskiy,RU,53.58,83.76,72.39,86,83,6.87,broken clouds
259,Rentina,GR,40.66,23.61,93.97,52,0,1.99,clear sky
260,Jumla,NP,29.27,82.18,64.63,94,99,0.31,overcast clouds
261,Emerald,AU,-23.53,148.17,47.34,93,17,0.43,few clouds
262,Barahona,DO,18.21,-71.10,89.42,74,20,16.11,few clouds
263,Luleburgaz,TR,41.40,27.36,83.52,41,1,17.13,clear sky
264,Kavieng,PG,-2.57,150.80,80.94,79,100,9.95,light rain
265,Dongsheng,CN,39.82,109.98,77.25,34,100,11.77,overcast clouds
266,Aksarka,RU,66.56,67.80,52.77,57,9,11.9,clear sky
267,Lompoc,US,34.64,-120.46,68.85,88,100,5.75,overcast clouds
268,Mount Gambier,AU,-37.83,140.77,47.03,85,54,8.12,broken clouds
269,Tahta,EG,26.77,31.50,97.86,12,0,16.89,clear sky
270,Carnarvon,AU,-24.87,113.63,66.76,63,85,15.3,overcast clouds
271,Yar-Sale,RU,66.83,70.83,47.89,73,100,8.03,overcast clouds
272,Southport,GB,53.65,-3.01,69.85,63,40,9.22,scattered clouds
273,Aracati,BR,-4.56,-37.77,83.8,61,90,9.46,overcast clouds
274,Gairo,IT,39.85,9.50,85.17,27,0,5.03,clear sky
275,Middelburg,ZA,-25.78,29.46,61.65,41,98,6.11,overcast clouds
276,Koroni,GR,36.80,21.95,90.07,52,0,8.1,clear sky
277,Brisbane,AU,-27.47,153.03,60.84,94,100,5.99,light rain
278,Daru,PG,-9.08,143.21,76.15,91,76,11.63,broken clouds
279,Saint-Louis,SN,16.33,-15.00,98.24,40,86,6.96,overcast clouds
280,Fare,PF,-16.70,-151.02,76.17,76,10,11.72,clear sky
281,Cockburn Town,TC,21.46,-71.14,85.96,66,40,17.27,scattered clouds
282,Griffith,US,41.53,-87.42,89.89,52,0,8.05,clear sky
283,Zheleznodorozhnyy,RU,55.75,38.00,70.21,69,61,13.6,light rain
284,Borisoglebskiy,RU,57.26,39.15,67.15,61,89,10.13,overcast clouds
285,Richards Bay,ZA,-28.78,32.04,66.58,85,5,6.38,clear sky
286,Atar,MR,20.52,-13.05,105.37,20,52,12.33,broken clouds
287,Santiago Del Estero,AR,-27.80,-64.26,76.77,45,29,15.46,scattered clouds
288,Biak,ID,-0.91,122.88,75.52,87,28,6.87,scattered clouds
289,Del Rio,US,29.36,-100.90,87.24,70,100,11.5,overcast clouds
290,Verkhnyaya Inta,RU,65.98,60.31,61.21,44,100,10.94,overcast clouds
291,Erzin,TR,36.96,36.20,81.52,66,0,8.57,clear sky
292,Bereda,ES,43.27,-7.54,71.62,71,11,7.99,few clouds
293,Amapa,BR,1.00,-52.00,89.85,48,21,3.49,few clouds
294,Lewistown,US,40.60,-77.57,88.25,78,75,12.66,broken clouds
295,Xichang,CN,27.90,102.26,66.31,94,74,3.78,broken clouds
296,Zaria,NG,11.11,7.72,85.32,47,29,5.55,scattered clouds
297,Taree,AU,-31.90,152.47,59.11,85,100,3.6,light rain
298,Sungairaya,ID,0.70,108.90,78.89,86,72,6.08,broken clouds
299,Marquette,US,46.53,-87.63,76.44,43,0,13.0,clear sky
300,Lagos,NG,6.58,3.75,79.86,71,97,8.39,overcast clouds
301,Saint-Augustin,CA,51.23,-58.65,75.45,43,36,14.52,scattered clouds
302,Conner,PH,17.80,121.33,76.84,94,51,2.13,broken clouds
303,San Jeronimo,PE,-11.95,-75.28,58.78,36,0,2.57,clear sky
304,Cabinda,AO,-5.55,12.20,73.76,79,68,12.06,broken clouds
305,Vestmannaeyjar,IS,63.44,-20.27,50.99,100,100,6.91,drizzle
306,Meulaboh,ID,4.14,96.13,78.49,83,100,4.97,moderate rain
307,Shirokiy,RU,49.76,129.52,61.95,93,39,3.76,scattered clouds
308,Mucurapo,TT,10.67,-61.53,86.25,92,22,10.04,few clouds
309,Tautira,PF,-17.73,-149.15,75.13,78,14,10.96,light rain
310,Vallenar,CL,-28.57,-70.76,60.58,71,26,3.4,scattered clouds
311,Port Hardy,CA,50.70,-127.42,53.78,94,100,0.0,mist
312,Touros,BR,-5.20,-35.46,82.58,63,79,14.23,broken clouds
313,Nyurba,RU,63.28,118.33,54.9,95,99,4.88,overcast clouds
314,Laramie,US,41.31,-105.59,83.53,22,0,4.61,clear sky
315,Cururupu,BR,-1.83,-44.87,90.12,45,46,3.62,scattered clouds
316,Srivardhan,IN,18.03,73.02,79.77,86,100,3.47,overcast clouds
317,Bumba,CD,2.18,22.47,78.75,74,94,2.06,overcast clouds
318,Sulangan,PH,11.14,123.72,84.72,74,100,8.3,overcast clouds
319,Porterville,US,36.07,-119.02,90.52,24,0,4.61,clear sky
320,Sorland,NO,67.67,12.69,53.46,92,100,18.12,overcast clouds
321,Totness,SR,5.88,-56.32,83.8,68,23,5.73,few clouds
322,Namibe,AO,-15.20,12.15,66.38,74,1,7.36,clear sky
323,Marau,BR,-28.45,-52.20,71.55,69,89,7.92,overcast clouds
324,Kharp,RU,66.80,65.81,55.13,54,15,3.36,few clouds
325,Manuk Mangkaw,PH,4.80,119.85,83.55,72,99,7.29,overcast clouds
326,Daliang,CN,22.85,113.25,86.58,65,0,7.36,clear sky
327,Pisco,PE,-13.70,-76.22,64.02,77,100,3.44,smoke
328,Pudozh,RU,61.81,36.53,77.09,55,22,1.77,few clouds
329,Hay River,CA,60.82,-115.80,64.38,59,40,11.5,scattered clouds
330,Palmer,US,42.16,-72.33,92.25,59,65,4.0,broken clouds
331,Aranos,NA,-24.13,19.12,66.15,22,0,8.55,clear sky
332,Altay,CN,47.87,88.12,63.32,57,100,6.08,overcast clouds
333,Sheltozero,RU,61.37,35.37,73.15,62,22,2.82,few clouds
334,Beringovskiy,RU,63.05,179.32,45.45,71,99,11.07,overcast clouds
335,Rumoi,JP,43.93,141.64,61.68,85,8,3.15,clear sky
336,Kati,ML,12.74,-8.07,81.81,68,92,8.41,light rain
337,Vila,PT,42.03,-8.16,82.71,48,1,9.93,clear sky
338,Finnsnes,NO,69.23,17.98,57.76,85,100,4.63,overcast clouds
